V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17
22262,821,389,hskrdavey,1271102904,"The fam...

[IMG]http://sphotos.ak.fbcdn.net/photos-ak-snc1/v3357/10/81/1048248451/n1048248451_392037_7849695.jpg[/IMG]",1361,visible,0,21,0,a:0:{},0,,0,0,0
25138,821,268,Red Reign,1271462990,"Great looking family...even you....:)

[B][/B][quote=""""hskrdavey, post: 22262""""]The fam...

[IMG]http://sphotos.ak.fbcdn.net/photos-ak-snc1/v3357/10/81/1048248451/n1048248451_392037_7849695.jpg[/IMG][/QUOTE]",1362,visible,0,22,0,a:0:{},0,,0,0,0
28619,821,265,Husker Poyer,1271800198,"Here's an excellent one of me and sonof_fred.  That's juice in my hand...

[img]http://sphotos.ak.fbcdn.net/photos-ak-sf2p/v11/35/19/17201925/n17201925_9574655_5492.jpg[/img]",1363,visible,0,23,0,a:0:{},0,,0,0,0
29088,821,495,GR8NUGUY,1271842389,"here is me while at work... :wave:
[IMG]http://i259.photobucket.com/albums/hh287/jnc3985/SDC10074_.jpg[/IMG]
[IMG]http://i259.photobucket.com/albums/hh287/jnc3985/dscf0363-1_.jpg[/IMG]
and me this past saturday",1364,visible,0,24,0,a:0:{},0,,1271843241,495,1
29526,821,309,Skunkman1,1271904164,"[quote=""""hskrdavey, post: 22262""""]The fam...

[IMG]http://sphotos.ak.fbcdn.net/photos-ak-snc1/v3357/10/81/1048248451/n1048248451_392037_7849695.jpg[/IMG][/QUOTE]




Me thinks you did not take that picture in Your home town!:lol::lol::lol::lol:",1365,visible,0,25,0,a:0:{},0,,0,0,0
29532,821,309,Skunkman1,1271905259,"Since I don't know how to download Pics go here! for some of me and others!  I do still laugh every time I see the picture of us holding up the banner while I'm goosing RR!

[url]http://www.huskermax.com/vbbs/showthread.php?1239-Photos-1st-offical-HuskerMax-Tailgate[/url]",1366,visible,0,26,0,a:0:{},0,,0,0,0
29929,821,495,GR8NUGUY,1271980586,"pictures of skunkman
[IMG]http://i259.photobucket.com/albums/hh287/jnc3985/skunkman.jpg[/IMG]",1367,visible,0,27,0,a:0:{},0,,0,0,0
30317,821,389,hskrdavey,1272042797,"[quote=""""Skunkman1, post: 29526""""]Me thinks you did not take that picture in Your home town!:lol::lol::lol::lol:[/QUOTE]
 
Winter Park,.. Cough... Cough........ Colorado.   (It hurts to even type that word!)",1368,visible,0,28,0,a:0:{},0,,0,0,0
30341,821,143,4evrHusker,1272043849,"[quote=""""Husker Poyer, post: 28619""""]Here's an excellent one of me and sonof_fred.  That's juice in my hand...

[img]http://sphotos.ak.fbcdn.net/photos-ak-sf2p/v11/35/19/17201925/n17201925_9574655_5492.jpg[/img][/QUOTE]

Did you have to change your shorts after you were done?  Looks like the aroma stunned sonof_fred completely.  :stickouttongue: :eek: :stickouttongue:

That's juice like your shirt is tucked in.  Nice straw though..... :stickouttongue: :stickouttongue:",1369,visible,0,29,0,a:0:{},0,,0,0,0
32703,821,417,HuskerWeatherman,1272248835,"[quote=""""Husker Poyer, post: 28619""""]That's juice in my hand...
[/QUOTE]

How hard did you have to squeeze it?",1370,visible,0,30,0,a:0:{},0,,0,0,0
32706,821,417,HuskerWeatherman,1272249586,"Some idiot named HuskerWeatherman who spends way too much time on his computer...staring into cyberspace...(pics from about a week ago...will I really be 41 soon?!  help!... there's no one around to take my photo...so your stuck with these webcam beauties of me...such is life)...

[IMG]http://i207.photobucket.com/albums/bb247/weatherman1969/Picture10x.jpg[/IMG]
[IMG]http://i207.photobucket.com/albums/bb247/weatherman1969/Picture13x.jpg[/IMG]
[IMG]http://i207.photobucket.com/albums/bb247/weatherman1969/Picture14.jpg[/IMG]
[IMG]http://i207.photobucket.com/albums/bb247/weatherman1969/Picture15x.jpg[/IMG]
[IMG]http://i207.photobucket.com/albums/bb247/weatherman1969/Picture2xjpg.jpg[/IMG]
[IMG]http://i207.photobucket.com/albums/bb247/weatherman1969/Picture32.jpg[/IMG]",1371,visible,0,31,0,a:0:{},0,,0,0,0
32775,821,258,Red Dawn,1272291187,"[quote=""""HuskerWeatherman, post: 32706""""]Some idiot named HuskerWeatherman who spends way too much time on his computer...staring into cyberspace...(pics from about a week ago...will I really be 41 soon?!  help!... there's no one around to take my photo...so your stuck with these webcam beauties of me...such is life)...

[IMG]http://i207.photobucket.com/albums/bb247/weatherman1969/Picture10x.jpg[/IMG]
[IMG]http://i207.photobucket.com/albums/bb247/weatherman1969/Picture13x.jpg[/IMG]
[IMG]http://i207.photobucket.com/albums/bb247/weatherman1969/Picture14.jpg[/IMG]
[IMG]http://i207.photobucket.com/albums/bb247/weatherman1969/Picture15x.jpg[/IMG]
[IMG]http://i207.photobucket.com/albums/bb247/weatherman1969/Picture2xjpg.jpg[/IMG]
[IMG]http://i207.photobucket.com/albums/bb247/weatherman1969/Picture32.jpg[/IMG][/QUOTE]

you forgot the link for your photos....  [url]www.mancrunch.com/huskerweatherman[/url] - and I cannot believe we are not """"crunching"""" together",1372,visible,0,32,0,a:0:{},0,,0,0,0
32836,821,417,HuskerWeatherman,1272297302,"[quote=""""Red Dawn, post: 32775""""]you forgot the link for your photos....  [url]www.mancrunch.com/huskerweatherman[/url] - and I cannot believe we are not """"crunching"""" together[/QUOTE]

I did wake up this morning fairly certain that you were """"stuck on me.""""",1373,visible,0,33,0,a:0:{},0,,0,0,0
32840,821,258,Red Dawn,1272297740,"[quote=""""HuskerWeatherman, post: 32836""""]I did wake up this morning fairly certain that you were """"stuck on me.""""[/QUOTE]
 
that is because we introduced Gorilla Glue last night.  the claims made by Gorilla Glue are 110% true and accurate people - do NOT mess around with that stuff.  Good thing about weatherman - he is easy to spot in Philly because he has double digit # of teeth.",1374,visible,0,34,0,a:0:{},0,,0,0,0
32870,821,417,HuskerWeatherman,1272299842,"[quote=""""Red Dawn, post: 32840""""]that is because we introduced Gorilla Glue last night.  the claims made by Gorilla Glue are 110% true and accurate people - do NOT mess around with that stuff.  Good thing about weatherman - he is easy to spot in Philly because he has double digit # of teeth.[/QUOTE]

This """"bonding"""" experience has probably taken its course now... 

True...I do have most of my teeth...ummm...",1375,visible,0,35,0,a:0:{},0,,0,0,0
33012,821,239,LutheranHusker,1272313341,"[quote=""""HuskerWeatherman, post: 32706""""]Some idiot named HuskerWeatherman who spends way too much time on his computer...staring into cyberspace...(pics from about a week ago...will I really be 41 soon?!  help!... there's no one around to take my photo...so your stuck with these webcam beauties of me...such is life)...
[IMG]http://i207.photobucket.com/albums/bb247/weatherman1969/Picture2xjpg.jpg[/IMG]
[/QUOTE]
 
Huh...who knew that Kiefer Sutherland was a Husker fan...or a meterologist, for that matter?

:D",1376,visible,0,36,0,a:0:{},0,,0,0,0
33030,821,265,Husker Poyer,1272314226,"[quote=""""LutheranHusker, post: 33012""""]Huh...who knew that Kiefer Sutherland was a Husker fan...or a meterologist, for that matter?

:D[/QUOTE]
 
Holy crap, Luth's here!  Everyone run!  (btw where have you been, it's been lonely with just me and RP)",1377,visible,0,37,0,a:0:{},0,,0,0,0
37507,821,504,Cardinal,1272923935,"[quote=""""hskrdavey, post: 30317""""]Winter Park,.. Cough... Cough........ Colorado.   (It hurts to even type that word!)[/QUOTE]

We love it when you Nebraskans come to Colorado, give us your money, then leave. :)  Just don't screw up the black runs by side-slipping down them because they're too steep for you flatlanders!  :)",1378,visible,0,38,0,a:0:{},0,,0,0,0
37772,821,389,hskrdavey,1272975280,"Touche'  !

[quote=""""Cardinal, post: 37507""""]We love it when you Nebraskans come to Colorado, give us your money, then leave. :)  Just don't screw up the black runs by side-slipping down them because they're too steep for you flatlanders!  :)[/QUOTE]",1379,visible,0,39,0,a:0:{},0,,0,0,0
37777,821,313,BuffSurveyor,1272976520,"[quote=""""Cardinal, post: 37507""""]We love it when you Nebraskans come to Colorado, give us your money, then leave. :)  Just don't screw up the black runs by side-slipping down them because they're too steep for you flatlanders!  :)[/QUOTE]
 
Just the same, we love it when Colorado fans come to Lincoln, give us their money, leave, and then complain about how worthless Lincoln and the rest of the State of Nebraska is as they drive across the entire State (spending more money) healing their wounds from yet another loss.  Some say that is a rivalry, perhaps it is.",1380,visible,0,40,0,a:0:{},0,,0,0,0
38718,821,504,Cardinal,1273097251,"[quote=""""BuffSurveyor, post: 37777""""]Just the same, we love it when Colorado fans come to Lincoln, give us their money, leave, and then complain about how worthless Lincoln and the rest of the State of Nebraska is as they drive across the entire State (spending more money) healing their wounds from yet another loss.  Some say that is a rivalry, perhaps it is.[/QUOTE]

Third man in.  That's a five minute major.

I'll pass your creative thoughts on to my CU fan friends for you, if there are any left.  I'm sure they'll be crushed. Oh, wait, they're reknown as apathetic fans, so they probably won't really give a rat's pitootie.  Golly, I'm so confused.  Which is it? 

Oh, and you forgot the kitchen sink.  Should I throw that in too when I pass your ingenuity on? ;)",1381,visible,0,41,0,a:0:{},0,,1273098374,504,1
53140,821,116,Roy Cantrall,1274896770,OK I will admit I am a bit illiterate about doing this kind of thing.  I have tried and tried to post my mug but it will not work:banghead:  How in the blazes do you get it to work?,1382,visible,0,42,0,a:0:{},0,,0,0,0
53871,821,442,ChitownHusker,1275074316,"[quote=""""Roy Cantrall, post: 53140""""]OK I will admit I am a bit illiterate about doing this kind of thing.  I have tried and tried to post my mug but it will not work:banghead:  How in the blazes do you get it to work?[/QUOTE]
 
Sorry no one has responded earlier, Roy.  The easiest way, by far, is to open a free account at photobucket and upload your photo there.  Once you have a photo on photobucket, it will give you a variety of ways to link you picture on a BBS.  Simply right click on the line of code that begins with /img, then paste that line of code here, and you're all set.",1383,visible,0,43,0,a:0:{},0,,0,0,0
53901,821,277,RussianRed,1275082959,"[QUOTE]=Roy Cantrall;53140]OK I will admit I am a bit illiterate about doing this kind of thing.  I have tried and tried to post my mug but it will not work:banghead:  How in the blazes do you get it to work?[/QUOTE]

[B][SIZE=""""3""""]Hey Roy is this you?[/SIZE][/B];)

[IMG]http://1.bp.blogspot.com/_bHSVCs9rX0A/Ri8Ba1TYOmI/AAAAAAAAA2w/KeU6wbzChHc/s400/1941b.jpg[/IMG]",1384,visible,0,44,0,a:0:{},0,,0,0,0
54428,821,499,Knothole Bob,1275235913,"[quote=""""Roy Cantrall, post: 53140""""]OK I will admit I am a bit illiterate about doing this kind of thing.  I have tried and tried to post my mug but it will not work:banghead:  How in the blazes do you get it to work?[/QUOTE]
 
If you were an Alltel customer, they had a thing called AxcessMyPics.com where you could send pictures from your phone to the site. It still works with the switch to Verizon and I bet most of the major phone companies use something similar. Then you just copy properties and paste it here the usual way.


Can someone explain how to copy pictures from your computer or is that impossible? You would think that would be the easiest thing to do...but apparently not??

Oh....that picture on the left is me looking through the fence in the Knothole section.",1385,visible,0,45,0,a:0:{},0,,1275236262,499,1
55099,821,116,Roy Cantrall,1275411135,"[quote=""""RussianRed, post: 53901""""][B][SIZE=""""3""""]Hey Roy is this you?[/SIZE][/B];)

[IMG]http://1.bp.blogspot.com/_bHSVCs9rX0A/Ri8Ba1TYOmI/AAAAAAAAA2w/KeU6wbzChHc/s400/1941b.jpg[/IMG][/QUOTE]

HOW DID YOU KNOW!!!!??????:lol:",1386,visible,0,46,0,a:0:{},0,,0,0,0
55105,821,116,Roy Cantrall,1275411698,"OK I am giving it another try

[IMG]http://i1009.photobucket.com/albums/af216/p47Lucky/smallRoyCantrall.jpg[/IMG]",1387,visible,0,47,0,a:0:{},0,,0,0,0
55178,821,427,chunbob,1275415918,"That's fine as far as it goes Roy, you're not bad looking for a pilot. But where's the pig?",1388,visible,0,48,0,a:0:{},0,,0,0,0
55179,821,116,Roy Cantrall,1275416037,"[quote=""""chunbob, post: 55178""""]That's fine as far as it goes Roy, you're not bad looking for a pilot. But where's the pig?[/QUOTE]
 
Who do you think was taking the picture.  That pig is a talented fella you know.",1389,visible,0,49,0,a:0:{},0,,0,0,0
55183,821,427,chunbob,1275416119,Oh I know that. Does he fly alongside or get in the cockpit?,1390,visible,0,50,0,a:0:{},0,,0,0,0
55201,821,116,Roy Cantrall,1275417641,I do not allow him into the cockpit.  He kind of smells bad and is a little unpedictable plus ATC hates it when he gets on the radio.,1391,visible,0,51,0,a:0:{},0,,0,0,0
55212,821,427,chunbob,1275418158,"I know what you mean about unpredictable. I once went into the Great Northern bar with my good friend Chester the pig and his boss. Chester, dressed in a Santa suit,  was a big hit at first but he got nervous and disgraced himself. They 86ed him.",1392,visible,0,52,0,a:0:{},0,,0,0,0
55271,821,268,Red Reign,1275423400,"Love that picture on the shirt Roy...:)

[B][/B][quote=""""Roy Cantrall, post: 55105""""]OK I am giving it another try

[IMG]http://i1009.photobucket.com/albums/af216/p47Lucky/smallRoyCantrall.jpg[/IMG][/QUOTE]",1393,visible,0,53,0,a:0:{},0,,0,0,0
55332,821,270,mjohnson,1275429068,"[quote=""""ChitownHusker, post: 53871""""]Sorry no one has responded earlier, Roy.  The easiest way, by far, is to open a free account at photobucket and upload your photo there.  Once you have a photo on photobucket, it will give you a variety of ways to link you picture on a BBS.  Simply right click on the line of code that begins with /img, then paste that line of code here, and you're all set.[/QUOTE]
 
Thanks for the info CH.",1394,visible,0,54,0,a:0:{},0,,0,0,0
55333,821,270,mjohnson,1275429134,"[quote=""""Roy Cantrall, post: 55179""""]Who do you think was taking the picture.  That pig is a talented fella you know.[/QUOTE]
 
Lol RC, good one.",1395,visible,0,55,0,a:0:{},0,,0,0,0
55337,821,219,bugeater61,1275429887,"[quote=""""Roy Cantrall, post: 55105""""]OK I am giving it another try

[IMG]http://i1009.photobucket.com/albums/af216/p47Lucky/smallRoyCantrall.jpg[/IMG][/QUOTE]

Doesnt the pig get jealous of the crow on the side of your plane?",1396,visible,0,56,0,a:0:{},0,,0,0,0
55631,821,116,Roy Cantrall,1275504205,That is not a crow it is a black bird and no the pig is not jealous.  There is quite a story behind that nose art.  I do not have time to go into it right now but somedaay i will if you are interested.,1397,visible,0,57,0,a:0:{},0,,0,0,0
55632,821,116,Roy Cantrall,1275504268,"[quote=""""Red Reign, post: 55271""""]Love that picture on the shirt Roy...:)

[B][/B][/QUOTE]
 
I have two with my favorite airplane on them the P-47 but you cannot beat that shark mouth on the p-40",1398,visible,0,58,0,a:0:{},0,,0,0,0
55677,821,270,mjohnson,1275510479,"[quote=""""Roy Cantrall, post: 55631""""]That is not a crow it is a black bird and no the pig is not jealous.  There is quite a story behind that nose art.  I do not have time to go into it right now but somedaay i will if you are interested.[/QUOTE]
 
Lol RC, yes, when you get time fill us in on the story.",1399,visible,0,59,0,a:0:{},0,,0,0,0
55711,821,417,HuskerWeatherman,1275516666,"That's a great photo, Roy!",1400,visible,0,60,0,a:0:{},0,,0,0,0
65945,821,88,Sidetrack Band,1276585731,"[quote=""""Cardinal, post: 37507""""]We love it when you Nebraskans come to Colorado, give us your money, then leave. :)  Just don't screw up the black runs by side-slipping down them because they're too steep for you flatlanders!  :)[/QUOTE]

That's funny. We love leaving, too. And it's always worth the money to get out.  :)",1401,visible,0,61,0,a:0:{},0,,0,0,0
68882,821,469,Sub-Husker,1276952016,"I used to put photos on Yahoo's free page, but they discontinued it.

Can anyone recommend a free site that's easy to use?

Thanks.",1402,visible,0,62,0,a:0:{},0,,0,0,0
69256,821,277,RussianRed,1276988430,"[quote=""""Sub-Husker, post: 68882""""]I used to put photos on Yahoo's free page, but they discontinued it.

Can anyone recommend a free site that's easy to use?

Thanks.[/QUOTE]

I use Photobucket. Its free, thou now I have joined there advanced package which cost like 20.00 a year. Only because I got a ton of stuff. But im happy with Photobucket.",1403,visible,0,63,0,a:0:{},0,,0,0,0
87543,4066,356,FCHusker,1280103205,"Has anybody heard anything new on these guys? I was just curious as we are getting closer to a new season, if they have chosen to stay at USC? Or has anybody heard if they are still maybe leaning towards transferring elsewhere?",3168,visible,0,0,0,a:0:{},0,,0,0,0
87938,4066,356,FCHusker,1280179749,"[quote=""""SBHusker, post: 87543""""]Has anybody heard anything new on these guys? I was just curious as we are getting closer to a new season, if they have chosen to stay at USC? Or has anybody heard if they are still maybe leaning towards transferring elsewhere?[/QUOTE]
 
Man, it is dead around here! Can you hear the crickets????? Nobody has posted anything in almost 24 hours!!",3169,visible,0,1,0,a:0:{},0,,0,0,0
87947,4066,343,iBLEEDred,1280180509,RR is taking a break!!!,3170,visible,0,2,0,a:0:{},0,,0,0,0
87964,4092,524,HuskerInHuntingtonBeach,1280183825,I have heard rumblings that there is a solid recruit that NU may be heading a different direction.  I wasn't sure if anyone knew why if this is even accurate?,3171,visible,0,0,0,a:0:{},0,,0,0,0
87969,4092,356,FCHusker,1280184586,"Dylan Admire has de-committed. He let Carl know. 

[url]http://www.nebraska.rivals.com/content.asp?CID=1106468[/url]",3172,visible,0,1,0,a:0:{},0,,0,0,0
87974,4092,524,HuskerInHuntingtonBeach,1280185036,So it was on his end...well good luck to him...,3173,visible,0,2,0,a:0:{},0,,0,0,0
87982,4092,566,IMfanFORnu,1280185535,"Exactly why I love statements like this from the recruiting sites  :

[QUOTE] It's been six months since Overland Park (Kan.) Blue Valley West offensive lineman Dylan Admire delivered his pledge to the NU coaches. Now, he said his [B]commitment to the 'Big Red' program couldn't be stronger[/B]. Has he been in contact with his future teammates?
 [/QUOTE]

Note the date was 5 days ago,  lol


[URL=""""http://nebraska.rivals.com/barrier_noentry.asp?sid=928&script=content.asp&cid=1104367&fid=&tid=&mid=""""]http://nebraska.rivals.com/barrier_noentry.asp?sid=928&script=content.asp&cid=1104367&fid=&tid=&mid=[/URL]

With the confidence I have with the current coaching staff my interest in following recruiting is peripheral at best.  Exhibit A right here.  Good luck to the young man",3174,visible,0,3,0,a:0:{},0,,0,0,0
87991,4092,328,RedPhoenix,1280186904,Good luck kid.  Hope you find the right fit.,3175,visible,0,4,0,a:0:{},0,,0,0,0
87996,4092,303,Huskernsooner71,1280187517,"For the class we have put together, I am glad it was Dylan that decommited vs some of the others.",3176,visible,0,5,0,a:0:{},0,,0,0,0
87997,4092,474,pfhusker,1280187618,You had to wonder if he would stick.. He commited so early.. EVery year you lose a few and gain a few from other schools where the kid has decommitted.  NU is in the mix for one the best in the nation in the oline yet.  They need to keep that pipline full.,3177,visible,0,6,0,a:0:{},0,,0,0,0
88036,4092,524,HuskerInHuntingtonBeach,1280193128,Depending on how the season goes we may find some diamonds in the rough from around Ohio...just have a strong feeling the Ohio pipeline may open like a firehose.  All that BigTen network coverage.  BTW I have been watching the BigTen network quite a bit when nothing else is on and they play their welcome nebraska commericial almost every hour.,3178,visible,0,7,0,a:0:{},0,,0,0,0
88040,4092,252,Beezer7,1280193288,"From what I heard, it sounds like he was worried about PT and wants to go somewhere where early PT is likely.",3179,visible,0,8,0,a:0:{},0,,0,0,0
88048,4092,474,pfhusker,1280193919,I am sure they are still more than a few real good olineman out there yet.  No worries NU is in on one of the best in the west.,3180,visible,0,9,0,a:0:{},0,,0,0,0
88059,4092,537,The Impaler,1280194622,"[quote=""""pfhusker, post: 88048""""]I am sure they are still more than a few real good olineman out there yet.  No worries NU is in on one of the best in the west.[/QUOTE]
 
Who?",3181,visible,0,10,0,a:0:{},0,,0,0,0
88078,4092,356,FCHusker,1280197400,"[quote=""""The Impaler, post: 88059""""]Who?[/QUOTE]
 
I'm hoping it's Hobbi out of Arizona, but I bet we will have a hard time getting him. Good luck to Dylan either way! So many rumors going around about him either being undersized or not having a """"written offer"""", either way, from everything I have read on the kid, he seems to be a great kid and I wish him the best!!",3182,visible,0,11,0,a:0:{},0,,0,0,0
88218,4092,382,HuskerDynasty,1280237906,"[quote=""""HuskerInHuntingtonBeach, post: 87974""""]So it was on his end...[/QUOTE]
 
Not exactly.",3183,visible,0,12,0,a:0:{},0,,0,0,0
88242,4092,270,mjohnson,1280239391,Thanks HIHB for the update. I hate to see him de-commit but good luck to him in his playing future.,3184,visible,0,13,0,a:0:{},0,,1280250303,270,1
88280,4092,356,FCHusker,1280243697,"[quote=""""mjohnson, post: 88242""""]Thanks HIHB for the update and the link. I hate to see him de-commit but good luck to him in his playing future.[/QUOTE]
 
Heh? HIHB didnt provide any linky!!;)",3185,visible,0,14,0,a:0:{},0,,0,0,0
88293,4092,354,carrolltonsker,1280244458,"[quote=""""SBHusker, post: 88280""""]Heh? HIHB didnt provide any linky!!;)[/QUOTE]

Here you go.

[url]http://nebraska.statepaper.com/vnews/display.v/ART/2010/07/26/4c4e4a7ade7a6[/url]",3186,visible,0,15,0,a:0:{},0,,0,0,0
88312,4092,270,mjohnson,1280247232,"[quote=""""SBHusker, post: 88280""""]Heh? HIHB didnt provide any linky!!;)[/QUOTE]
 
Lol, my bad SB. Thanks.",3187,visible,0,16,0,a:0:{},0,,1280251746,270,1
88313,4092,270,mjohnson,1280247249,"[quote=""""carrolltonsker, post: 88293""""]Here you go.

[url]http://nebraska.statepaper.com/vnews/display.v/ART/2010/07/26/4c4e4a7ade7a6[/url][/QUOTE]
 
Thanks Carrollton.",3188,visible,0,17,0,a:0:{},0,,0,0,0
