key,user,unixTime,postText,time,words
87997,pfhusker,1280187618,You had to wonder if he would stick.. He commited so early.. EVery year you lose a few and gain a few from other schools where the kid has decommitted.  NU is in the mix for one the best in the nation in the oline yet.  They need to keep that pipline full.,2010-07-26T23:40:18Z,you had to wonder if he would stick   he commited so early   every year you lose a few and gain a few from other schools where the kid has decommitted   nu is in the mix for one the best in the nation in the oline yet   they need to keep that pipline full 
88036,HuskerInHuntingtonBeach,1280193128,Depending on how the season goes we may find some diamonds in the rough from around Ohio...just have a strong feeling the Ohio pipeline may open like a firehose.  All that BigTen network coverage.  BTW I have been watching the BigTen network quite a bit when nothing else is on and they play their welcome nebraska commericial almost every hour.,2010-07-27T01:12:08Z,depending on how the season goes we may find some diamonds in the rough from around ohio   just have a strong feeling the ohio pipeline may open like a firehose   all that bigten network coverage   btw i have been watching the bigten network quite a bit when nothing else is on and they play their welcome nebraska commericial almost every hour 
88048,pfhusker,1280193919,I am sure they are still more than a few real good olineman out there yet.  No worries NU is in on one of the best in the west.,2010-07-27T01:25:19Z,i am sure they are still more than a few real good olineman out there yet   no worries nu is in on one of the best in the west 
88655,Red Reign,1280290945," Admire Decommits from Nebraska 

Not really a decomit per-se (as the article title suggests) as the offer was pulled....he was """"""""let go"""""""" by Nebraska for not meeting certain conditions of his offer....his offer was conditonal on how he performed at camp etc.....he was the lowest rated of our O-line commits....a good kid who I wish the very best too....has an offer from Kansas.....hope it works out for him....:)


 

 ",2010-07-28T04:22:25Z," admire decommits from nebraska 

not really a decomit per-se (as the article title suggests) as the offer was pulled    he was """"""""let go"""""""" by nebraska for not meeting certain conditions of his offer    his offer was conditonal on how he performed at camp etc     he was the lowest rated of our o-line commits    a good kid who i wish the very best too    has an offer from kansas     hope it works out for him    :)


 

 "
88666,BornToBeRed,1280294586,"Our Offensive Line Commits:

OT Zach Sterup Scout 3* Hastings, NE
OG Ryan Klachko Scout 4* Springfield, IL
OT Tyler Moore Scout 4* Clearwater, FL
C Ryne Reeves Scout 4* Crete, NE

I think you still have to love what we have in this class on the O-Line for the 2011 class.",2010-07-28T05:23:06Z,"our offensive line commits:

ot zach sterup scout 3* hastings  ne
og ryan klachko scout 4* springfield  il
ot tyler moore scout 4* clearwater  fl
c ryne reeves scout 4* crete  ne

i think you still have to love what we have in this class on the o-line for the 2011 class "
88670,Red Reign,1280295476,"Sterup is a 4**** on Rivals making all four O-lineman 4****'s......

   ",2010-07-28T05:37:56Z,"sterup is a 4**** on rivals making all four o-lineman 4****'s      

   "
88671,BornToBeRed,1280296927,"I figured there would be at least one player on the list who had some sort of rating variation, glad to see it was in his favor.

With that scholarship freed up, is there someone in particular we can expect Nebraska to start going after? Or press harder on?",2010-07-28T06:02:07Z,"i figured there would be at least one player on the list who had some sort of rating variation  glad to see it was in his favor 

with that scholarship freed up  is there someone in particular we can expect nebraska to start going after  or press harder on "
88673,Red Reign,1280297919,"Yes.....Cyrus Hobbi (OG) a kid from Scottsdale, AZ we are recruiting hard....a 4**** on both Rivals and Scout....

   ",2010-07-28T06:18:39Z,"yes     cyrus hobbi (og) a kid from scottsdale  az we are recruiting hard    a 4**** on both rivals and scout    

   "
88889,Huskerbub,1280348754,"Hey guys first time posting on the site, but have been reading you all for quite awhile.  I hear Bryce Brown has left Tennesee.  Any idea where he's heading?",2010-07-28T20:25:54Z,hey guys first time posting on the site  but have been reading you all for quite awhile   i hear bryce brown has left tennesee   any idea where he's heading 
88913,Combat Yeoman,1280355220,Welcome Huskerbub.  The Brown brothers are both huge talents that seem to have let the circus around them and their talents from a young age... get the best of them.  Here's to hoping they gain some maturity and see success in the future.,2010-07-28T22:13:40Z,welcome huskerbub   the brown brothers are both huge talents that seem to have let the circus around them and their talents from a young age    get the best of them   here's to hoping they gain some maturity and see success in the future 
88947,Redrobin,1280360739,"Seems the Brown brothers and their  pimp  agent were the straw that broke the camels back with the agent brewhaha in the news recently. I'm sure there are others, but the Brown brothers are a case study.",2010-07-28T23:45:39Z,seems the brown brothers and their  pimp  agent were the straw that broke the camels back with the agent brewhaha in the news recently  i'm sure there are others  but the brown brothers are a case study 
89045,KleinTxHusker,1280372557," 

 Based on the situation with Scott Criss, can't he enroll at KSU with out a release and then talk with the coaches and perhaps get put on scholarship should KSU want to and have one available?  It sounds like the issue is you can't talk to other coaches until you are released, however, if you enroll on your own and pay your own way (at least the first tuition payment) then you can talk to the coaches at the new school even if you don't have a release.",2010-07-29T03:02:37Z," 

 based on the situation with scott criss  can't he enroll at ksu with out a release and then talk with the coaches and perhaps get put on scholarship should ksu want to and have one available   it sounds like the issue is you can't talk to other coaches until you are released  however  if you enroll on your own and pay your own way (at least the first tuition payment) then you can talk to the coaches at the new school even if you don't have a release "
89970,YUENGLING,1280521530,Any word on DT Mickey Johnson? Heard we are one of his favorites does anyone have any word or video?:N:,2010-07-30T20:25:30Z,any word on dt mickey johnson  heard we are one of his favorites does anyone have any word or video :n:
89986,Retired Husker Corpsmen,1280523760,The word here in Nashville is that Brown was supposed to have had a face to face with Dooley earlier this week but already had left Knoxville.   Dooley has announced he is no longer in the program and hasnt released him from his schollie and most people here due think he is going to go to Manhattan i guess we shall see also dont if all has heard the Ole Miss has accecepted former Oregon qb Jason Mazzoli to their program,2010-07-30T21:02:40Z,the word here in nashville is that brown was supposed to have had a face to face with dooley earlier this week but already had left knoxville    dooley has announced he is no longer in the program and hasnt released him from his schollie and most people here due think he is going to go to manhattan i guess we shall see also dont if all has heard the ole miss has accecepted former oregon qb jason mazzoli to their program
90029,IMfanFORnu,1280529965,"Wonder if this belongs in the """"""""other teams"""""""" section,  as technically Mr. Brown will not play for a team that will be on the Huskers schedule in the future...........   just say'n  ;)",2010-07-30T22:46:05Z,"wonder if this belongs in the """"""""other teams"""""""" section   as technically mr  brown will not play for a team that will be on the huskers schedule in the future              just say'n   )"
90074,BornToBeRed,1280535547,"ESPN NCAAF UPDATE:
Tennessee RB Bryce Brown asks for release from scholarship; wants to transfer to Kansas State.

SHOCKING!

 

 ",2010-07-31T00:19:07Z,"espn ncaaf update:
tennessee rb bryce brown asks for release from scholarship  wants to transfer to kansas state 

shocking 

 

 "
90133,BornToBeRed,1280547039,"Dylan Admire makes their SEVENTH OL recruit. Quite a deep group in that class. Good luck, Dylan.",2010-07-31T03:30:39Z,dylan admire makes their seventh ol recruit  quite a deep group in that class  good luck  dylan 
90135,FCHusker,1280547322,This is great news! Good luck to Dylan and good luck to Turner and KU! Soon to be my favorite BIG12(10) team!!!!!!!!!!,2010-07-31T03:35:22Z,this is great news  good luck to dylan and good luck to turner and ku  soon to be my favorite big12(10) team          
90144,YUENGLING,1280549898,Can you imagine what Bo and Carl could do with this kid. He seems to have it all speed quickness and strength. Hope he visits soon.,2010-07-31T04:18:18Z,can you imagine what bo and carl could do with this kid  he seems to have it all speed quickness and strength  hope he visits soon 
90183,KleinTxHusker,1280576705,"Good for him...

And given the fact he will be playing for KU in another league and for Turner Gill...  we can actually cheer him on...",2010-07-31T11:45:05Z,"good for him   

and given the fact he will be playing for ku in another league and for turner gill     we can actually cheer him on   "
90373,Combat Yeoman,1280603987,"Glad it's """"""""official"""""""".  Welcome Mr. Santos",2010-07-31T19:19:47Z,"glad it's """"""""official""""""""   welcome mr  santos"
90377,Dotsee,1280604618,"Another great job of recruiting by Coach Ekeler

WELCOME DAVID",2010-07-31T19:30:18Z,"another great job of recruiting by coach ekeler

welcome david"
90378,Husker X,1280604671,Great News!  Welcome Mr.  Santos and GBR!!,2010-07-31T19:31:11Z,great news   welcome mr   santos and gbr  
90382,BuffSurveyor,1280604991,"Seems to be a good recruit.

When do the Rivals team recruiting rankings come out?",2010-07-31T19:36:31Z,"seems to be a good recruit 

when do the rivals team recruiting rankings come out "
90385,Red Reign,1280605457,"As expected....glad you are onboard....:)

ESPN gave him a grade of 79 which is very good in their rating system....

 

You can also watch video of him at the link....he is #32.....explosive speed with a real nose for the ball....


 


 2011 Scout.com HS Football Rankings  (full list): 

 OLB  Rank: #42  Rating: 3 *** 

Had other offers from: Kansas, Tulane, Utah & Wyoming",2010-07-31T19:44:17Z,"as expected    glad you are onboard    :)

espn gave him a grade of 79 which is very good in their rating system    

 

you can also watch video of him at the link    he is #32     explosive speed with a real nose for the ball    


 


 2011 scout com hs football rankings  (full list): 

 olb  rank: #42  rating: 3 *** 

had other offers from: kansas  tulane  utah & wyoming"
90403,mjw11,1280607036,good pick up...any chance we are going to recruit guys for the other side of the ball or just let our defense score all the points,2010-07-31T20:10:36Z,good pick up   any chance we are going to recruit guys for the other side of the ball or just let our defense score all the points
90404,Red Reign,1280607242,"Already recruited four 4**** O-linemen....and two 4**** Quarterbacks....and the #2 rated kicker in the country who can also punt...

   ",2010-07-31T20:14:02Z,"already recruited four 4**** o-linemen    and two 4**** quarterbacks    and the #2 rated kicker in the country who can also punt   

   "
90437,BornToBeRed,1280612121," 
 
Yeah, we've made additions... But I'd still love to see Aaron Green or a strong WR.

Regardless, glad to hear about Mr. Santos!",2010-07-31T21:35:21Z," 
 
yeah  we've made additions    but i'd still love to see aaron green or a strong wr 

regardless  glad to hear about mr  santos "
90444,Red Reign,1280613241,"Patience....:)...we are only half through recruiting this class......:)  Davie will more than likely be a WR with his sub 4.4.....40 time...this is a heck of a class thus far, especially on the offensive side of the ball....


   ",2010-07-31T21:54:01Z,"patience    :)   we are only half through recruiting this class      :)  davie will more than likely be a wr with his sub 4 4     40 time   this is a heck of a class thus far  especially on the offensive side of the ball    


   "
90450,Redrobin,1280614274,Built like a Suh.,2010-07-31T22:11:14Z,built like a suh 
90477,FCHusker,1280617472," 
 
I agree on the patience part! I think things are going to slow down for a bit, like you said we are only half way through! I honestly think Green will end up """"""""N"""""""".  But alot can change between now and signing day! Another kid I think we will end having a good shot at is wr Patrick Onwuasor. Although distance may be a factor like I think it ended up being for Owa last year, I like our chances! Very solid class so far in my mind! The coaches are doing a great job!",2010-07-31T23:04:32Z," 
 
i agree on the patience part  i think things are going to slow down for a bit  like you said we are only half way through  i honestly think green will end up """"""""n""""""""   but alot can change between now and signing day  another kid i think we will end having a good shot at is wr patrick onwuasor  although distance may be a factor like i think it ended up being for owa last year  i like our chances  very solid class so far in my mind  the coaches are doing a great job "
90482,BubbaGene,1280618240,"Well moving to the Big 10 is going to kill our recruiting in Texas........oh wait, that's where he's from....",2010-07-31T23:17:20Z,well moving to the big 10 is going to kill our recruiting in texas        oh wait  that's where he's from    
90492,mjohnson,1280620428,"Thanks RR for the link. Great job done by Coach Ekeler once again, glad to hear Santos is going to be a HUSKER.",2010-07-31T23:53:48Z,thanks rr for the link  great job done by coach ekeler once again  glad to hear santos is going to be a husker 
90494,p-ville husker,1280620694," 
 
right now we have great contacts and it should stay that way, but we won't know for sure for 3 years or so if we get less Texas recruits.",2010-07-31T23:58:14Z," 
 
right now we have great contacts and it should stay that way  but we won't know for sure for 3 years or so if we get less texas recruits "
90522,Huskermedic,1280625165,Just added a LJS link to this on the front page.  To busy watching Suh stuff so I missed it.  Woops:),2010-08-01T01:12:45Z,just added a ljs link to this on the front page   to busy watching suh stuff so i missed it   woops:)
90551,BornToBeRed,1280629613," 
 
I know, I know. *Sigh* I just got kind of used to rolling in these recruits. :D",2010-08-01T02:26:53Z," 
 
i know  i know  *sigh* i just got kind of used to rolling in these recruits  :d"
90578,izzycohen,1280635170,Welcome to the Big Red Mr. Santos.,2010-08-01T03:59:30Z,welcome to the big red mr  santos 
90607,carrolltonsker,1280659102,Welcome Mr. Santos.,2010-08-01T10:38:22Z,welcome mr  santos 
90617,YUENGLING,1280668367,Could Curt Evans be the next recruit N? Does anyone have video? What does RED REIGN say? We need a few receivers.:rolleyes:,2010-08-01T13:12:47Z,could curt evans be the next recruit n  does anyone have video  what does red reign say  we need a few receivers :rolleyes:
90717,Red Reign,1280688228,"If football were the #1 reason he was going to college, we would be in the lead.....education is big for this young man thus we trail Vandy and Duke.  I think that along with location hurts us in the end.",2010-08-01T18:43:48Z,if football were the #1 reason he was going to college  we would be in the lead     education is big for this young man thus we trail vandy and duke   i think that along with location hurts us in the end 
90766,Red Reign,1280691975,"He loves Nebraska football and has a great realtionship with the coaches.....will visit during the season....

            

   ",2010-08-01T19:46:15Z,"he loves nebraska football and has a great realtionship with the coaches     will visit during the season    

            

   "
90838,twokgrad,1280704509,"Is the punter for the orange/black team double as a d-lineman? :)

How good of competition is he facing in these videos? A number of them just look really slow or lack the ability to tackle.",2010-08-01T23:15:09Z,"is the punter for the orange/black team double as a d-lineman  :)

how good of competition is he facing in these videos  a number of them just look really slow or lack the ability to tackle "
90864,Red Reign,1280707974,"Wide Receiver
Hollywood, Florida
Chaminade Madonna
Ht:6'0""""""""
Wt:173 lbs
 GPA:3.5 
Class:2011 (High School) 

Had 27 scholarship offer's before trimming it to the final 5....turned down some big time schools....




Plays in Division 2B at Chaminade-Madonna College Preparatory School

 

His school went 12-1 in 2009.....

 

And its a Catholic Prep School....

 


Article on the 2010 team.....sounds like a helluva program....

 

 


   ",2010-08-02T00:12:54Z,"wide receiver
hollywood  florida
chaminade madonna
ht:6'0""""""""
wt:173 lbs
 gpa:3 5 
class:2011 (high school) 

had 27 scholarship offer's before trimming it to the final 5    turned down some big time schools    




plays in division 2b at chaminade-madonna college preparatory school

 

his school went 12-1 in 2009     

 

and its a catholic prep school    

 


article on the 2010 team     sounds like a helluva program    

 

 


   "
90867,YUENGLING,1280708105,Wow I hope Nebraska's academics impress him. Is anyone else impressed with his QB? How about the last play on the tape?,2010-08-02T00:15:05Z,wow i hope nebraska's academics impress him  is anyone else impressed with his qb  how about the last play on the tape 
90870,Red Reign,1280708812,Tim Beck is his lead recruiter....,2010-08-02T00:26:52Z,tim beck is his lead recruiter    
90928,YUENGLING,1280723586,Jerrard Randall comitted to Oregon...recruted by Scott Frost...all Huskers recognize talent.,2010-08-02T04:33:06Z,jerrard randall comitted to oregon   recruted by scott frost   all huskers recognize talent 
90932,YUENGLING,1280724409,"If you are at Max's tailgate I'll be bringing Lager , Lager Light and Premium (hard to fine outside our area). Has anyone ever tried Yuengling Black & Tan?

I really like this Randall Oregon's found itself a great young talent . Wish we had Scott Frost on the Husker staff.",2010-08-02T04:46:49Z,"if you are at max's tailgate i'll be bringing lager   lager light and premium (hard to fine outside our area)  has anyone ever tried yuengling black & tan 

i really like this randall oregon's found itself a great young talent   wish we had scott frost on the husker staff "
91083,N2FL,1280767953,Notre Dame is still in the mix with Evans as well....,2010-08-02T16:52:33Z,notre dame is still in the mix with evans as well    
91246,Weinosker,1280785282," 
 
I would think ND would get a lot of great WR with Kelly there now.  Who's the guy at Cincy that he turned into a star?",2010-08-02T21:41:22Z," 
 
i would think nd would get a lot of great wr with kelly there now   who's the guy at cincy that he turned into a star "
91252,YUENGLING,1280787805,Does anyone have an idea if Christian Heyward will visit? I know Ron Brown is recruting him and Nebraska has offeren . Any video on him...are we in his top two or three?:gobigred:,2010-08-02T22:23:25Z,does anyone have an idea if christian heyward will visit  i know ron brown is recruting him and nebraska has offeren   any video on him   are we in his top two or three :gobigred:
91299,YUENGLING,1280794914,Haven't seen a high school defensive lineman as quick and strong in a long time. He refuses to be blocked. Happy to hear Ron Brown is recruiting him. Can you imagine what Bo and Carl could do with a kid like this over four or five years. He still has a senior season. WOW! What are the Huskers chances does anyone know?,2010-08-03T00:21:54Z,haven't seen a high school defensive lineman as quick and strong in a long time  he refuses to be blocked  happy to hear ron brown is recruiting him  can you imagine what bo and carl could do with a kid like this over four or five years  he still has a senior season  wow  what are the huskers chances does anyone know 
91300,N2FL,1280795004," 
 
You must be thinking about Mardy Gilyard.",2010-08-03T00:23:24Z," 
 
you must be thinking about mardy gilyard "
91968,N2FL,1280948912," 
 
I really like Dexter Moody. We had him rated the #147 player in the 2009 class. He was being recruited by some schools as a SS, but mostly as a WILL. From the tape I have on him from his H.S. days, the kid's strengths and style are made for Pelini's system. I do feel like he would rather play in the south, though. One interesting thing about Moody is that he is a December grad, so that benefits Nebraska some. The idea being he has to make his decision earlier than normal, thus less chance he gets a more appealing offer from an SEC/ACC team (theoretically).",2010-08-04T19:08:32Z," 
 
i really like dexter moody  we had him rated the #147 player in the 2009 class  he was being recruited by some schools as a ss  but mostly as a will  from the tape i have on him from his h s  days  the kid's strengths and style are made for pelini's system  i do feel like he would rather play in the south  though  one interesting thing about moody is that he is a december grad  so that benefits nebraska some  the idea being he has to make his decision earlier than normal  thus less chance he gets a more appealing offer from an sec/acc team (theoretically) "
92121,p-ville husker,1280968518,"I sure hate when Articles can't get their facts straight.

Klein Collins was a semi-finalist of their region, but only made it to the final 16 teams not final four as it states and they played in Division 2 SMALL schools not Big schools playoffs.",2010-08-05T00:35:18Z,"i sure hate when articles can't get their facts straight 

klein collins was a semi-finalist of their region  but only made it to the final 16 teams not final four as it states and they played in division 2 small schools not big schools playoffs "
92193,HuskerInOkieland,1280978759,"As Ive said before, Moody could wind up being one of the real interesting recruiting stories of this class.

Stay tuned!:D",2010-08-05T03:25:59Z,"as ive said before  moody could wind up being one of the real interesting recruiting stories of this class 

stay tuned :d"
92224,Tunnelwalk,1280986631,"Don't follow recruiting much, but it looks like an O-line guy we offered but who went with LSU was snubbed on moving in day!

With Bo's connection to LSU and the fact we just had an O-lineman defect to Kansas, would this perhaps be a good fit?

 ",2010-08-05T05:37:11Z,"don't follow recruiting much  but it looks like an o-line guy we offered but who went with lsu was snubbed on moving in day 

with bo's connection to lsu and the fact we just had an o-lineman defect to kansas  would this perhaps be a good fit 

 "
92245,carrolltonsker,1281009985," 

What you say is true.  However, it probably needs to be mentioned that in Texas the 5A Division (largest schools) is divided up into two divisions.  While Collins is a 5A school, it falls into the smaller 5A schools division for playoff purposes.",2010-08-05T12:06:25Z," 

what you say is true   however  it probably needs to be mentioned that in texas the 5a division (largest schools) is divided up into two divisions   while collins is a 5a school  it falls into the smaller 5a schools division for playoff purposes "
92265,p-ville husker,1281015935," 
 
All classes in Texas football breaks up the teams in big schools/small schools from the playoff teams in the district for the playoffs.",2010-08-05T13:45:35Z," 
 
all classes in texas football breaks up the teams in big schools/small schools from the playoff teams in the district for the playoffs "
92753,geauxbigred,1281042309,I like what I'm reading about Turner.  Good head on his shoulders and not scared of competing.,2010-08-05T21:05:09Z,i like what i'm reading about turner   good head on his shoulders and not scared of competing 
92766,BornToBeRed,1281043359,"There's a lot to like! 
If I were a QB in this class, I'd be pretty happy knowing there are a number of stud linemen coming in with me.",2010-08-05T21:22:39Z,"there's a lot to like  
if i were a qb in this class  i'd be pretty happy knowing there are a number of stud linemen coming in with me "
92866,Red Reign,1281059176,"Enjoy....

Munson explaining the Texas A&M Rivals report that Jamal was looking to visit other schools.....which wasn't/isn't true.....he plans to visit A&M when they play Nebraska.....

Talk about Bubba Sterling....his folks want him to go to college....

Next on the horizon as a commit?....no one on the edge ready to commit soon....



  ",2010-08-06T01:46:16Z,"enjoy    

munson explaining the texas a&m rivals report that jamal was looking to visit other schools     which wasn't/isn't true     he plans to visit a&m when they play nebraska     

talk about bubba sterling    his folks want him to go to college    

next on the horizon as a commit     no one on the edge ready to commit soon    



  "
92957,HUSKER 4 EVER,1281093916," 

Now you know why RR is sooooo good at getting recruiting news...he can see into the future:D  

Thanks for the link RR",2010-08-06T11:25:16Z," 

now you know why rr is sooooo good at getting recruiting news   he can see into the future:d  

thanks for the link rr"
93121,Red Reign,1281112255,"A short synopsis as to where we are at in recruiting....:)

 

 ",2010-08-06T16:30:55Z,"a short synopsis as to where we are at in recruiting    :)

 

 "
93203,hskrdavey,1281118873,"I think allot of them have had the old """"""""Ya..we'll see if your really going to throw the ball"""""""" attitude.

I truly think that if Niles Paul has a great year....the WR will start coming.  He's highly touted by pre-season mags...draft analysists etc..If he can't have a productive year..(ala. THROW THE BALL TO HIM!)... our WR recruiting pool will be pretty slim. 


Whehter we like to amit it or not...our offense just hasn't had a specific identity and I wonder if that's what is causing us to not land the more talented WR's.",2010-08-06T18:21:13Z,"i think allot of them have had the old """"""""ya  we'll see if your really going to throw the ball"""""""" attitude 

i truly think that if niles paul has a great year    the wr will start coming   he's highly touted by pre-season mags   draft analysists etc  if he can't have a productive year  (ala  throw the ball to him )    our wr recruiting pool will be pretty slim  


whehter we like to amit it or not   our offense just hasn't had a specific identity and i wonder if that's what is causing us to not land the more talented wr's "
93258,FCHusker,1281122719,"Great read! Thanks Red! I am confused as heck on the Chase Harper tidbit. Last I remember reading is people on this board, not naming names wrote him off and I remember hearing specifically that he will NEVER play a down for NU??? Is this tidbit just a nice way to take that one step farther? If the kid is already gone, then why mention him? Is he still trying to make it to NU is what I guess I am asking!",2010-08-06T19:25:19Z,great read  thanks red  i am confused as heck on the chase harper tidbit  last i remember reading is people on this board  not naming names wrote him off and i remember hearing specifically that he will never play a down for nu    is this tidbit just a nice way to take that one step farther  if the kid is already gone  then why mention him  is he still trying to make it to nu is what i guess i am asking 
93268,Red Reign,1281123113,"I don't think he will and no he is not coming to nebraska thsi season.....he is no longer a Nebraska recruit and will play a second season of JUCO football....we would have to re-recruit him for he 2011 class....don't count on that happening....

   ",2010-08-06T19:31:53Z,"i don't think he will and no he is not coming to nebraska thsi season     he is no longer a nebraska recruit and will play a second season of juco football    we would have to re-recruit him for he 2011 class    don't count on that happening    

   "
93353,Red Reign,1281136709,"One of his three official vists will be to Nebraska....will visit for one of the games in early September.....this guy would be a BIG Time-get and replace Admire as an O-Line recruit....sounds like he really likes Nebraska.....I think if we blow him a way we have a real good shot at his commit....not in a hurry to make a decision until he makes all of his official visits.....

Offensive guard
Scottsdale, Arizona
Saguaro High School
Ht:6'4""""""""
Wt:285 lbs
Bench Max:405
Class:2011 (High School) 

Rivals 4**** 5.9
Position Rank 2  National Rank 72  State Rank 2

Scholarship Offers: (only Schools he has meduim interest in) Arizona State, Cal, Michigan, Nebraska, Oregon State, UCLA, USC, Washington
His Favorites:  UCLA, Washington, Nebraska


 

 ",2010-08-06T23:18:29Z,"one of his three official vists will be to nebraska    will visit for one of the games in early september     this guy would be a big time-get and replace admire as an o-line recruit    sounds like he really likes nebraska     i think if we blow him a way we have a real good shot at his commit    not in a hurry to make a decision until he makes all of his official visits     

offensive guard
scottsdale  arizona
saguaro high school
ht:6'4""""""""
wt:285 lbs
bench max:405
class:2011 (high school) 

rivals 4**** 5 9
position rank 2  national rank 72  state rank 2

scholarship offers: (only schools he has meduim interest in) arizona state  cal  michigan  nebraska  oregon state  ucla  usc  washington
his favorites:  ucla  washington  nebraska


 

 "
93366,Red Reign,1281138887,"Yeah Cyrus blocking for Bubba....:D

   ",2010-08-06T23:54:47Z,"yeah cyrus blocking for bubba    :d

   "
93379,p-ville husker,1281140060," 
 
With Rex in the backfield.",2010-08-07T00:14:20Z," 
 
with rex in the backfield "
93514,KleinTxHusker,1281180683," 
 
We could go from having a """"""""Yoshi"""""""" on the line to a """"""""Hobbi"""""""" on the line...

Who names their kid Cyrus in this age?:D

Cyrus Vance (Sec of State for Carter)...

Cyrus McCormick... Inventor of a reaping machine... and the founder of the company that became International Harvester...  which makes.... CornHuskers...:D:cool::thumbsup:

 ",2010-08-07T11:31:23Z," 
 
we could go from having a """"""""yoshi"""""""" on the line to a """"""""hobbi"""""""" on the line   

who names their kid cyrus in this age :d

cyrus vance (sec of state for carter)   

cyrus mccormick    inventor of a reaping machine    and the founder of the company that became international harvester     which makes     cornhuskers   :d:cool::thumbsup:

 "
93619,carrolltonsker,1281201787," 

According to this site, Cyrus is a popular baby name.

 

As a baby boy name, Cyrus is currently a popular baby name, with a recent overall USA popularity ranking of 506 out of 1000 (source: 2000s U.S. Census).",2010-08-07T17:23:07Z," 

according to this site  cyrus is a popular baby name 

 

as a baby boy name  cyrus is currently a popular baby name  with a recent overall usa popularity ranking of 506 out of 1000 (source: 2000s u s  census) "
93681,johnhoie,1281220469,Can you imagine what he'd do for our recruiting rank? We'd be #1!,2010-08-07T22:34:29Z,can you imagine what he'd do for our recruiting rank  we'd be #1 
